GameID,Name,Platform,Year,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Avg_Playtime_Hours,Price_USD,ESRB_Rating,Multiplayer,Sales_Category,Score_Gap,Decade
G0001,Dark Quest,Mobile,2022,RPG,Square Enix,1.46,77,7.6,49,49.99,E,No,Medium (1-5M),0.1,2020
G0002,Mega Worlds 1,PC,2023,Simulation,Sony Interactive,20.98,92,6.9,37,9.99,M,Yes,Blockbuster (15M+),2.3,2020
G0003,Eternal Chronicles,Xbox,2023,Action,Take-Two,4.83,78,7.8,43,39.99,E,No,Medium (1-5M),0.0,2020
G0004,Shadow Quest 1,PlayStation,2021,Shooter,Sony Interactive,2.72,64,6.9,74,59.99,E,Yes,Medium (1-5M),-0.5,2020
G0005,Ancient Quest,Nintendo Switch,2025,Adventure,Microsoft,5.45,57,3.7,11,59.99,T,Yes,High (5-15M),2.0,2020
G0006,Eternal Raid 3,PlayStation,2025,Shooter,Square Enix,10.44,81,9.7,51,69.99,T,Yes,High (5-15M),-1.6,2020
G0007,Pixel Quest,PC,2020,RPG,Take-Two,0.69,57,5.9,13,49.99,T,No,Low (<1M),-0.2,2020
G0008,Super Raid,Mobile,2020,Racing,Square Enix,1.42,72,8.1,11,49.99,T,Yes,Medium (1-5M),-0.9,2020
G0009,Epic Strike,PlayStation,2025,Shooter,Activision,9.23,92,8.9,73,39.99,E10+,Yes,High (5-15M),0.3,2020
G0010,Dragon Force 1,PC,2018,Action,Electronic Arts,5.25,50,4.5,31,29.99,M,Yes,High (5-15M),0.5,2010
G0011,Space Fury,PC,2017,Action,Valve,13.0,77,7.0,35,59.99,T,No,High (5-15M),0.7,2010
G0012,Shadow Tactics,PC,2012,Fighting,Electronic Arts,2.37,56,5.5,29,9.99,T,Yes,Medium (1-5M),0.1,2010
G0013,Battle Chronicles,PC,2023,Adventure,Square Enix,3.52,78,9.0,27,29.99,M,No,Medium (1-5M),-1.2,2020
G0014,Iron Fury,PlayStation,2012,Adventure,Sony Interactive,4.43,98,9.3,30,14.99,T,No,Medium (1-5M),0.5,2010
G0015,Legend Warriors,Xbox,2022,Adventure,Square Enix,9.11,63,7.1,9,49.99,T,Yes,High (5-15M),-0.8,2020
G0016,Neon Chronicles,PlayStation,2017,Simulation,Bandai Namco,2.62,84,8.7,12,49.99,E10+,Yes,Medium (1-5M),-0.3,2010
G0017,Dark Souls 3,PlayStation,2018,Puzzle,Ubisoft,7.05,85,7.5,39,39.99,T,Yes,High (5-15M),1.0,2010
G0018,Space Horizon,Mobile,2015,Adventure,Valve,3.56,80,7.6,27,19.99,T,No,Medium (1-5M),0.4,2010
G0019,Ultra Arena,PlayStation,2012,Simulation,Square Enix,8.51,87,6.9,55,59.99,M,Yes,High (5-15M),1.8,2010
G0020,Legend Horizon,PlayStation,2014,RPG,Bandai Namco,12.1,62,5.3,11,49.99,T,No,High (5-15M),0.9,2010
G0021,Mega Horizon,PlayStation,2023,Racing,Epic Games,1.06,64,6.8,20,49.99,M,No,Medium (1-5M),-0.4,2020
G0022,Pixel Dawn 2,PlayStation,2016,Shooter,Valve,1.87,85,8.2,22,14.99,M,No,Medium (1-5M),0.3,2010
G0023,Shadow Worlds,PlayStation,2020,Fighting,Sony Interactive,4.16,82,7.5,42,29.99,M,Yes,Medium (1-5M),0.7,2020
G0024,Dragon Souls 1,PlayStation,2017,Adventure,Sega,8.35,61,4.8,14,19.99,E10+,No,High (5-15M),1.3,2010
G0025,Storm Odyssey 2,Xbox,2018,Action,Bandai Namco,2.07,53,5.5,8,14.99,E,No,Medium (1-5M),-0.2,2010
G0026,Battle Tactics 1,PC,2025,Adventure,Valve,0.75,98,8.5,56,14.99,M,No,Low (<1M),1.3,2020
G0027,Mega Dawn,PC,2021,Simulation,Microsoft,6.2,51,5.6,17,19.99,M,No,High (5-15M),-0.5,2020
G0028,Storm Raid,PC,2025,Simulation,Activision,18.82,83,8.0,33,29.99,M,Yes,Blockbuster (15M+),0.3,2020
G0029,Battle Fury 1,PC,2016,Sports,Sega,1.56,93,8.7,19,19.99,T,No,Medium (1-5M),0.6,2010
G0030,Ancient Rivals 1,PC,2024,Racing,Take-Two,1.77,97,8.5,28,14.99,E10+,Yes,Medium (1-5M),1.2,2020
G0031,Dark Legacy,PC,2025,Action,Nintendo,11.78,81,7.4,5,49.99,E,No,High (5-15M),0.7,2020
G0032,Final Chronicles,PC,2021,Fighting,Sega,4.21,83,9.5,32,39.99,M,No,Medium (1-5M),-1.2,2020
G0033,Iron Tactics,Xbox,2015,Simulation,Square Enix,7.57,95,9.4,20,49.99,T,No,High (5-15M),0.1,2010
G0034,Eternal Quest,PC,2024,Racing,Bandai Namco,2.31,58,5.6,18,29.99,T,Yes,Medium (1-5M),0.2,2020
G0035,Dark Dawn,PlayStation,2014,Racing,Capcom,35.5,73,7.4,21,9.99,E10+,No,Blockbuster (15M+),-0.1,2010
G0036,Lost Quest,PlayStation,2019,Shooter,Activision,5.27,75,8.2,16,29.99,M,No,High (5-15M),-0.7,2010
G0037,Pixel Age,Nintendo Switch,2020,Sports,Activision,16.05,74,7.6,19,29.99,E,No,Blockbuster (15M+),-0.2,2020
G0038,Ancient Force,PC,2025,Action,Nintendo,44.75,86,6.9,17,29.99,T,No,Blockbuster (15M+),1.7,2020
G0039,Neon Age,Nintendo Switch,2024,Strategy,Sony Interactive,1.77,73,5.3,84,59.99,E10+,Yes,Medium (1-5M),2.0,2020
G0040,Epic Fury,Nintendo Switch,2023,Action,Electronic Arts,3.08,76,7.7,45,14.99,E,No,Medium (1-5M),-0.1,2020
G0041,Eternal Age,PlayStation,2015,RPG,Electronic Arts,2.6,90,7.1,73,59.99,E,No,Medium (1-5M),1.9,2010
G0042,Iron Odyssey,PlayStation,2021,Action,Nintendo,25.12,83,8.4,26,29.99,E10+,No,Blockbuster (15M+),-0.1,2020
